product_id,product_name,category,category_1,category_2,category_3,actual_price,discount_price,discount_percentage,rating,rating_count
B078HRR1XV,Wacom One by CTL-472/K0-CX Digital Drawing Graphics Pen Tablet (Red & Black) Small (6-inch x 3.5-inch)(15x8cm) | Battery Free Cordless Pen with 2048 Pressure Level,Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",GraphicTablets,4699.00,3303,30,4.4,13544
B09P22HXH6,"Lenovo 300 FHD Webcam with Full Stereo Dual Built-in mics | FHD 1080P 2.1 Megapixel CMOS Camera |Privacy Shutter | Ultra-Wide 95 Lens | 360 Rotation | Flexible Mount, Plug-n-Play | Cloud Grey",Computers&Accessories,Accessories&Peripherals,Audio&VideoAccessories,Webcams&VoIPEquipment,5490.00,1890,66,4.1,10976
B00LM4X3XE,Parker Quink Ink Bottle (Black),OfficeProducts,OfficePaperProducts,Paper,Stationery,100.00,90,10,4.3,3061
B09YLFHFDW,"Sony WI-C100 Wireless Headphones with Customizable Equalizer for Deep Bass & 25 Hrs Battery, DSEE-Upscale, Splash Proof, 360RA, Fast Pair, in-Ear Bluetooth Headset with mic for Phone Calls (Black)",Electronics,"Headphones,Earbuds&Accessories",Headphones,In-Ear,2790.00,1599,43,3.6,2272
B07YWS9SP9,"Zebronics, ZEB-NC3300 USB Powered Laptop Cooling Pad with Dual Fan, Dual USB Port and Blue LED Lights",Computers&Accessories,Accessories&Peripherals,LaptopAccessories,CoolingPads,999.00,599,40,4,7601
B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),Computers&Accessories,NetworkingDevices,NetworkAdapters,WirelessUSBAdapters,1208.00,507,58,4.1,8131
B08WLY8V9S,"Tukzer Gel Mouse Pad Wrist Rest Memory-Foam Ergonomic Mousepad| Cushion Wrist Support & Pain Relief| Suitable for Gaming, Computer, Laptop, Home & Office Non-Slip Rubber Base (Blue)",Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Keyboard&MiceAccessories,899.00,425,53,4.5,4219
B0873L7J6X,"Infinity (JBL Glide 510, 72 Hrs Playtime with Quick Charge, Wireless On Ear Headphone with Mic, Deep Bass, Dual Equalizer, Bluetooth 5.0 with Voice Assistant Support (Black)",Electronics,"Headphones,Earbuds&Accessories",Headphones,On-Ear,3999.00,1499,63,4.2,42775
B07YNHCW6N,Robustrion Smart Trifold Hard Back Flip Stand Case Cover for Apple iPad 10.2 Cover iPad 9th Generation Cover 2021 8th Gen 2020 7th Gen 2019 Generation Case - Black,Computers&Accessories,Accessories&Peripherals,TabletAccessories,"Bags,Cases&Sleeves",2499.00,549,78,4.3,5556
B07232M876,"Amazonbasics Micro Usb Fast Charging Cable For Android Smartphone,Personal Computer,Printer With Gold Plated Connectors (6 Feet, Black)",Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,395.00,199,50,4.2,92595
